№;Линк категории поставщика;channel;prefix;coef;threshold;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
557;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:slusarne-zubilo";site;;0,85;1,2;152104243;Електроінструменти;14201512;https://prom.ua/ua/Zubila-doloto-dlya-perforatora;V;;Тип устройства;;Слюсарне зубило/долото
558;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:slusarne-zubilo";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14201512;https://prom.ua/ua/Zubila-doloto-dlya-perforatora;V, Vmin, noindex;;Тип устройства;;Слюсарне зубило/долото
559;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:kutovii-perehidnik";site;;0,85;1,2;152104243;Електроінструменти;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V;;Тип устройства;;Кутовий перехідник
560;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:kutovii-perehidnik";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Кутовий перехідник
561;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:ekscentr-nasadka";site;;0,85;1,2;152104243;Електроінструменти;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V;;Тип устройства;;Ексцентрикова насадка
562;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:ekscentr-nasadka";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Ексцентрикова насадка
563;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:shvidkozmin-trimach";site;;0,85;1,2;152104243;Електроінструменти;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V;;Тип устройства;;Швидкозмінний тримач
564;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:shvidkozmin-trimach";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Швидкозмінний тримач
565;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:shvidkozmin-patron";site;;0,85;1,2;152104243;Електроінструменти;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V;;Тип устройства;;Швидкозмінний патрон
566;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:shvidkozmin-patron";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Швидкозмінний патрон
567;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:sumka";site;;0,85;1,2;152104243;Електроінструменти;142007;https://prom.ua/ua/Sumki-dlya-instrumenta;V;;Тип устройства;;Сумка для інструментів
568;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:sumka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;142007;https://prom.ua/ua/Sumki-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Сумка для інструментів
569;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:poiasna-sumka";site;;0,85;1,2;152104243;Електроінструменти;142007;https://prom.ua/ua/Sumki-dlya-instrumenta;V;;Тип устройства;;Поясна сумка для інструментів
570;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:poiasna-sumka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;142007;https://prom.ua/ua/Sumki-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Поясна сумка для інструментів
571;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:keis";site;;0,85;1,2;152104243;Електроінструменти;142007;https://prom.ua/ua/Sumki-dlya-instrumenta;V;;Тип устройства;;Кейс для інструментів
572;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:keis";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;142007;https://prom.ua/ua/Sumki-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Кейс для інструментів
573;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:mastilo-hvostovik";site;;0,85;1,2;152104243;Електроінструменти;14201516;https://prom.ua/ua/Masla-dlya-instrumenta;V;;Тип устройства;;Мастило для хвостовиків
574;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:mastilo-hvostovik";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14201516;https://prom.ua/ua/Masla-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Мастило для хвостовиків
575;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:zatiskna-gaika";site;;0,85;1,2;152104243;Електроінструменти;420504;https://prom.ua/ua/Gajki;V;;Тип устройства;;Затискна гайка для кругів
576;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:zatiskna-gaika";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;420504;https://prom.ua/ua/Gajki;V, Vmin, noindex;;Тип устройства;;Затискна гайка для кругів
577;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:lancug-pilka";site;;0,85;1,2;152104243;Електроінструменти;14201505;https://prom.ua/ua/Tsepi-dlya-pil;V;;Тип устройства;;Ланцюг для пилки
578;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:lancug-pilka";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;14201505;https://prom.ua/ua/Tsepi-dlya-pil;V, Vmin, noindex;;Тип устройства;;Ланцюг для пилки
579;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:nasadka-parochisnika";site;;0,85;1,2;152104243;Електроінструменти;64404;https://prom.ua/ua/Zapchasti-i-prinadlezhnosti-dlya-pylesosov;V;;Тип устройства;;Насадка пароочисника
580;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:nasadka-parochisnika";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;64404;https://prom.ua/ua/Zapchasti-i-prinadlezhnosti-dlya-pylesosov;V, Vmin, noindex;;Тип устройства;;Насадка пароочисника
581;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:polotna-renovator";site;;0,85;1,2;152104243;Електроінструменти;14201502;https://prom.ua/ua/Polotna-nozhovochnye;V;;Тип устройства;;Полотна для реноватора
582;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:polotna-renovator";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14201502;https://prom.ua/ua/Polotna-nozhovochnye;V, Vmin, noindex;;Тип устройства;;Полотна для реноватора
583;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:mishok-pilesos";site;;0,85;1,2;152104243;Електроінструменти;64404;https://prom.ua/ua/Zapchasti-i-prinadlezhnosti-dlya-pylesosov;V;;Тип устройства;;Мішок для пилососу
584;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:mishok-pilesos";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;64404;https://prom.ua/ua/Zapchasti-i-prinadlezhnosti-dlya-pylesosov;V, Vmin, noindex;;Тип устройства;;Мішок для пилососу
585;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:nasadka-kut-graver";site;;0,85;1,2;152104243;Електроінструменти;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V;;Тип устройства;;Кутова насадка гравера
586;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:nasadka-kut-graver";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V, Vmin, noindex;;Тип устройства;;Кутова насадка гравера
587;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:gnuchkii-val-graver";site;;0,85;1,2;152104243;Електроінструменти;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V;;Тип устройства;;Гнучкий вал гравера
588;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:gnuchkii-val-graver";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V, Vmin, noindex;;Тип устройства;;Гнучкий вал гравера
589;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:shtativ-graver";site;;0,85;1,2;152104243;Електроінструменти;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V;;Тип устройства;;Штатив гравера
590;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:shtativ-graver";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V, Vmin, noindex;;Тип устройства;;Штатив гравера
591;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:stiika-sverdlinnia";site;;0,85;1,2;152104243;Електроінструменти;14209803;https://prom.ua/ua/Sverlilnye-stanki;V;;Тип устройства;;Стійка для свердління
592;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:stiika-sverdlinnia";prom;prom_;0,85;1.27;140905382;Безопасность и комфорт;14209803;https://prom.ua/ua/Sverlilnye-stanki;V, Vmin, noindex;;Тип устройства;;Стійка для свердління
593;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:klei-strizhen";site;;0,85;1,2;152104243;Електроінструменти;14201523;https://prom.ua/ua/Kleevye-sterzhni;V;;Тип устройства;;Клейові стрижні
594;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:klei-strizhen";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;14201523;https://prom.ua/ua/Kleevye-sterzhni;V, Vmin, noindex;;Тип устройства;;Клейові стрижні
595;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:nasadka-paialnik";site;;0,85;1,2;152104243;Електроінструменти;142711;https://prom.ua/ua/Nasadki-i-zhala-dlya-payalnikov;V;;Тип устройства;;Насадка для газового паяльника
596;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:nasadka-paialnik";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;142711;https://prom.ua/ua/Nasadki-i-zhala-dlya-payalnikov;V, Vmin, noindex;;Тип устройства;;Насадка для газового паяльника
597;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:kozhuh-shlifuv";site;;0,85;1,2;152104243;Електроінструменти;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V;;Тип устройства;;Захисний кожух для шліфувальної машини
598;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:kozhuh-shlifuv";prom;prom_;0,85;1.26;140905382;Безопасность и комфорт;14201514;https://prom.ua/ua/Osnastka-dlya-mnogofunktsionalnyh-shlifmashin;V, Vmin, noindex;;Тип устройства;;Захисний кожух для шліфувальної машини
599;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:pilevidalennia";site;;0,85;1,2;152104243;Електроінструменти;64404;https://prom.ua/ua/Zapchasti-i-prinadlezhnosti-dlya-pylesosov;V;;Тип устройства;;Насадка для пилевидалення
600;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:pilevidalennia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;64404;https://prom.ua/ua/Zapchasti-i-prinadlezhnosti-dlya-pylesosov;V, Vmin, noindex;;Тип устройства;;Насадка для пилевидалення
601;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:torc-shina";site;;0,85;1,2;152104243;Електроінструменти;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V;;Тип устройства;;Торцювальна шина
602;"https://viatec.ua/catalog/elektroinstrumenti/0:0;elektro-aks:torc-shina";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;142001;https://prom.ua/ua/Komplektuyuschie-dlya-instrumenta;V, Vmin, noindex;;Тип устройства;;Торцювальна шина
603;"https://viatec.ua/catalog/mounting-equipment/0:0;162:444";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;15370306;https://prom.ua/ua/Multimetry;V;;Тип устройства;;Мультиметр
604;"https://viatec.ua/catalog/mounting-equipment/0:0;162:444";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;15370306;https://prom.ua/ua/Multimetry;V, Vmin, noindex;;Тип устройства;;Мультиметр
605;"https://viatec.ua/catalog/mounting-equipment/0:0;162:tester";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;50918;https://prom.ua/ua/Kabelnyj-tester;V;;Тип устройства;;Тестер кабелю
606;"https://viatec.ua/catalog/mounting-equipment/0:0;162:tester";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;50918;https://prom.ua/ua/Kabelnyj-tester;V, Vmin, noindex;;Тип устройства;;Тестер кабелю
607;"https://viatec.ua/catalog/mounting-equipment/0:0;162:shupi-testera";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;153713;https://prom.ua/ua/Komplektuyuschie-izmeritelnyh-priborov;V;;Тип устройства;;Щупи для тестера
608;"https://viatec.ua/catalog/mounting-equipment/0:0;162:shupi-testera";prom;prom_;0,85;1.25;140905382;Безопасность и комфорт;153713;https://prom.ua/ua/Komplektuyuschie-izmeritelnyh-priborov;V, Vmin, noindex;;Тип устройства;;Щупи для тестера
609;"https://viatec.ua/catalog/mounting-equipment/0:0;162:klemi-nakonechniki";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;5092905;https://prom.ua/ua/Krepezhnye-materialy;V;;Тип устройства;;Клеми/наконечники
610;"https://viatec.ua/catalog/mounting-equipment/0:0;162:klemi-nakonechniki";prom;prom_;0,85;1.32;140905382;Безопасность и комфорт;5092905;https://prom.ua/ua/Krepezhnye-materialy;V, Vmin, noindex;;Тип устройства;;Клеми/наконечники
611;"https://viatec.ua/catalog/mounting-equipment/0:0;162:vimir-zazemlennia";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;15370309;https://prom.ua/ua/Ommetry;V;;Тип устройства;;Вимірювач заземлення
612;"https://viatec.ua/catalog/mounting-equipment/0:0;162:vimir-zazemlennia";prom;prom_;0,85;1.2;140905382;Безопасность и комфорт;15370309;https://prom.ua/ua/Ommetry;V, Vmin, noindex;;Тип устройства;;Вимірювач заземлення
613;"https://viatec.ua/catalog/mounting-equipment/0:0;162:strumizmir";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;15370306;https://prom.ua/ua/Multimetry;V;;Тип устройства;;Струмовимірювач
614;"https://viatec.ua/catalog/mounting-equipment/0:0;162:strumizmir";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;15370306;https://prom.ua/ua/Multimetry;V, Vmin, noindex;;Тип устройства;;Струмовимірювач
615;"https://viatec.ua/catalog/mounting-equipment/0:0;162:instrument-dlia-zachishennia";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200355;https://prom.ua/ua/Semniki-izolyatsii;V;;Тип устройства;;Інструмент для зачищення/обрізання
616;"https://viatec.ua/catalog/mounting-equipment/0:0;162:instrument-dlia-zachishennia";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200355;https://prom.ua/ua/Semniki-izolyatsii;V, Vmin, noindex;;Тип устройства;;Інструмент для зачищення/обрізання
617;"https://viatec.ua/catalog/mounting-equipment/0:0;162:instrument-dlia-obtiskannia";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;Інструмент для обтискання
618;"https://viatec.ua/catalog/mounting-equipment/0:0;162:instrument-dlia-obtiskannia";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;Інструмент для обтискання
619;"https://viatec.ua/catalog/mounting-equipment/0:0;162:dlia-zabivannia-kontaktiv";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;5093501;https://prom.ua/ua/Instrument-dlya-zadelki-kabelya;V;;Тип устройства;;Для забивання контактів
620;"https://viatec.ua/catalog/mounting-equipment/0:0;162:dlia-zabivannia-kontaktiv";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;5093501;https://prom.ua/ua/Instrument-dlya-zadelki-kabelya;V, Vmin, noindex;;Тип устройства;;Для забивання контактів
621;"https://viatec.ua/catalog/mounting-equipment/0:0;162:protiazhka-kabelu";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;5092905;https://prom.ua/ua/Krepezhnye-materialy;V;;Тип устройства;;Протяжка кабелю
622;"https://viatec.ua/catalog/mounting-equipment/0:0;162:protiazhka-kabelu";prom;prom_;0,85;1.32;140905382;Безопасность и комфорт;5092905;https://prom.ua/ua/Krepezhnye-materialy;V, Vmin, noindex;;Тип устройства;;Протяжка кабелю
623;"https://viatec.ua/catalog/mounting-equipment/0:0;162:rozpusk-kabelu";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200355;https://prom.ua/ua/Semniki-izolyatsii;V;;Тип устройства;;Розпуск кабелю
624;"https://viatec.ua/catalog/mounting-equipment/0:0;162:rozpusk-kabelu";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200355;https://prom.ua/ua/Semniki-izolyatsii;V, Vmin, noindex;;Тип устройства;;Розпуск кабелю
625;"https://viatec.ua/catalog/mounting-equipment/0:0;162:montazh-rozemiv";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;Монтаж роз'ємів
626;"https://viatec.ua/catalog/mounting-equipment/0:0;162:montazh-rozemiv";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;Монтаж роз'ємів
627;"https://viatec.ua/catalog/mounting-equipment/0:0;162:954";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V;;Тип устройства;;Ізострічка
628;"https://viatec.ua/catalog/mounting-equipment/0:0;162:954";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V, Vmin, noindex;;Тип устройства;;Ізострічка
629;"https://viatec.ua/catalog/mounting-equipment/0:0;162:izo-viskoza";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V;;Тип устройства;;Ізострічка віскзона
630;"https://viatec.ua/catalog/mounting-equipment/0:0;162:izo-viskoza";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V, Vmin, noindex;;Тип устройства;;Ізострічка віскзона
631;"https://viatec.ua/catalog/mounting-equipment/0:0;162:izo-vulkan";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V;;Тип устройства;;Ізострічка вулканізуюча
632;"https://viatec.ua/catalog/mounting-equipment/0:0;162:izo-vulkan";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V, Vmin, noindex;;Тип устройства;;Ізострічка вулканізуюча
633;"https://viatec.ua/catalog/mounting-equipment/0:0;162:dzgutuv";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V;;Тип устройства;;Стрічка для жгутування та захисту кабелів
634;"https://viatec.ua/catalog/mounting-equipment/0:0;162:dzgutuv";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14190303;https://prom.ua/ua/Elektroizolyatsionnaya-lenta;V, Vmin, noindex;;Тип устройства;;Стрічка для жгутування та захисту кабелів
635;"https://viatec.ua/catalog/mounting-equipment/0:0;162:1177";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;142703;https://prom.ua/ua/Flyusy-pripoj;V;;Тип устройства;;Припій
636;"https://viatec.ua/catalog/mounting-equipment/0:0;162:1177";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;142703;https://prom.ua/ua/Flyusy-pripoj;V, Vmin, noindex;;Тип устройства;;Припій
637;"https://viatec.ua/catalog/mounting-equipment/0:0;162:paialnik";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14400803;https://prom.ua/ua/Payalniki;V;;Тип устройства;;Паяльник
638;"https://viatec.ua/catalog/mounting-equipment/0:0;162:paialnik";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14400803;https://prom.ua/ua/Payalniki;V, Vmin, noindex;;Тип устройства;;Паяльник
639;"https://viatec.ua/catalog/mounting-equipment/0:0;162:vsmoktucha-strichka";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;230620;https://prom.ua/ua/Klejkaya-upakovochnaya-lenta;V;;Тип устройства;;Всмоктуюча стрічка
640;"https://viatec.ua/catalog/mounting-equipment/0:0;162:vsmoktucha-strichka";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;230620;https://prom.ua/ua/Klejkaya-upakovochnaya-lenta;V, Vmin, noindex;;Тип устройства;;Всмоктуюча стрічка
641;"https://viatec.ua/catalog/mounting-equipment/0:0;162:nabir";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200328;https://prom.ua/ua/Klyuchi-dlya-patrona;V;;Тип устройства;;Набір інструментів для кабелю
642;"https://viatec.ua/catalog/mounting-equipment/0:0;162:nabir";prom;prom_;0,85;1.31;140905382;Безопасность и комфорт;14200328;https://prom.ua/ua/Klyuchi-dlya-patrona;V, Vmin, noindex;;Тип устройства;;Набір інструментів для кабелю
643;"https://viatec.ua/catalog/mounting-equipment/0:0;161:obzhim-vtulk";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтиск втулкових наконечників
644;"https://viatec.ua/catalog/mounting-equipment/0:0;161:obzhim-vtulk";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтиск втулкових наконечників
645;"https://viatec.ua/catalog/mounting-equipment/0:0;161:948";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтискання RJ-45 (8P8C)
646;"https://viatec.ua/catalog/mounting-equipment/0:0;161:948";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтискання RJ-45 (8P8C)
647;"https://viatec.ua/catalog/mounting-equipment/0:0;161:949";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтискання RJ-12/11 (6P6C)
648;"https://viatec.ua/catalog/mounting-equipment/0:0;161:949";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтискання RJ-12/11 (6P6C)
649;"https://viatec.ua/catalog/mounting-equipment/0:0;161:mc4-solar";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтискання Solar-конекторів типу MC 4
650;"https://viatec.ua/catalog/mounting-equipment/0:0;161:mc4-solar";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтискання Solar-конекторів типу MC 4
651;"https://viatec.ua/catalog/mounting-equipment/0:0;161:scotchlock";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтискання ScotchLok
652;"https://viatec.ua/catalog/mounting-equipment/0:0;161:scotchlock";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтискання ScotchLok
653;"https://viatec.ua/catalog/mounting-equipment/0:0;161:obtiskanna-4p-6p";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтискання 4P/6P/8P/10P
654;"https://viatec.ua/catalog/mounting-equipment/0:0;161:obtiskanna-4p-6p";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтискання 4P/6P/8P/10P
655;"https://viatec.ua/catalog/mounting-equipment/0:0;161:obtiskannia-awg";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтискання болтів/контактів AWG
656;"https://viatec.ua/catalog/mounting-equipment/0:0;161:obtiskannia-awg";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтискання болтів/контактів AWG
657;"https://viatec.ua/catalog/mounting-equipment/0:0;161:idc";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V;;Тип устройства;;обтискання IDC- роз'ємів
658;"https://viatec.ua/catalog/mounting-equipment/0:0;161:idc";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;14200358;https://prom.ua/ua/Instrumenty-obzhimnye-ruchnye;V, Vmin, noindex;;Тип устройства;;обтискання IDC- роз'ємів
659;"https://viatec.ua/catalog/mounting-equipment/0:0;161:1031";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;5093501;https://prom.ua/ua/Instrument-dlya-zadelki-kabelya;V;;Тип устройства;;закладення тип 110, тип Krone, IDC (Dual)
660;"https://viatec.ua/catalog/mounting-equipment/0:0;161:1031";prom;prom_;0,85;1.28;140905382;Безопасность и комфорт;5093501;https://prom.ua/ua/Instrument-dlya-zadelki-kabelya;V, Vmin, noindex;;Тип устройства;;закладення тип 110, тип Krone, IDC (Dual)
661;"https://viatec.ua/catalog/mounting-equipment/0:0;161:1032";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;50918;https://prom.ua/ua/Kabelnyj-tester;V;;Тип устройства;;тестер мережі RJ-45, RJ-12
662;"https://viatec.ua/catalog/mounting-equipment/0:0;161:1032";prom;prom_;0,85;1.30;140905382;Безопасность и комфорт;50918;https://prom.ua/ua/Kabelnyj-tester;V, Vmin, noindex;;Тип устройства;;тестер мережі RJ-45, RJ-12
663;"https://viatec.ua/catalog/mounting-equipment/0:0;161:1033";site;;0,85;1,2;152208132;Инструмент для работы с кабелем;14200355;https://prom.ua/ua/Semniki-izolyatsii;V;;Тип устройства;;зачищення ізоляції
