№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
48;70704;https://prom.ua/Zhestkie-diski;"HDD, SSD";"жесткий диск hdd, hdd диск для видеонаблюдения, накопитель hdd, внутренний жесткий диск, диск для видеорегистратора, hdd для хранения данных, жесткий диск для системы безопасности, диск памяти для камер, hdd накопитель для архива, диск для записи видео";"жорсткий диск hdd, hdd диск для відеоспостереження, накопичувач hdd, внутрішній жорсткий диск, диск для відеореєстратора, hdd для зберігання даних, жорсткий диск для системи безпеки, диск пам'яті для камер, hdd накопичувач для архіву, диск для запису відео";жесткий диск;жорсткий диск;"Виробник, Тип устройства, Об'єм накопичувача, Інтерфейс, Форм-фактор, Швидкість обертання"
49;63705;https://prom.ua/Karty-pamyati;"MicroSD, SD";"microsd карта памяти, карта памяти microsd, карта памяти для камер, microsd для видеонаблюдения, карта памяти для регистратора, флеш карта microsd, карта памяти для хранения данных, microsd для записи видео, карта памяти для ip камер, microsd накопитель";"карта пам'яті microsd, microsd карта пам'яті, карта пам'яті для камер, microsd для відеоспостереження, карта пам'яті для реєстратора, флеш карта microsd, карта пам'яті для зберігання даних, microsd для запису відео, карта пам'яті для ip камер, microsd накопичувач";карта памяти microsd;карта пам'яті microsd;"Виробник, Тип устройства, Об'єм пам'яті, Тип карти пам'яті, Швидкість зчитування"
50;70501;https://prom.ua/Flesh-nakopitel;USB;"usb накопитель, флешка usb, usb флеш накопитель, флеш карта usb, usb память, накопитель usb для данных, флешка для записи, usb устройство хранения, флеш накопитель для архива, usb диск";"usb накопичувач, флешка usb, usb флеш накопичувач, флеш карта usb, usb пам'ять, накопичувач usb для даних, флешка для запису, usb пристрій зберігання, флеш накопичувач для архіву, usb диск";usb накопитель;usb накопичувач;"Виробник, Тип устройства, Об'єм пам'яті, Інтерфейс, Форм-фактор"
51;706;https://prom.ua/Monitory;Монітори;"монитор, экран дисплей, монитор видеонаблюдения, дисплей для камеры, монитор системы, экран контроля, монитор безопасности, дисплей системы, монитор видеосистемы, экран наблюдения";"монітор, екран дисплей, монітор відеоспостереження, дисплей для камери, монітор системи, екран контролю, монітор безпеки, дисплей системи, монітор відеосистеми, екран спостереження";монитор;монітор;"Виробник, Тип устройства"
52;6370714;https://prom.ua/Televizory;Телевізори;"телевизор, телевизор смарт, смарт тв, телевизор 4k, телевизор led, телевизор android tv, телевизор wifi, телевизор экран, телевизор для дома, телевизор цифровой";"телевізор, телевізор смарт, смарт тв, телевізор 4k, телевізор led, телевізор android tv, телевізор wifi, телевізор екран, телевізор для дому, телевізор цифровий";телевизор;телевізор;"Виробник, Тип устройства"
53;8210510;https://prom.ua/Sredstva-dlya-bytovoj-tehniki;Засоби для чищення;"средство для чистки экранов, очиститель экрана, салфетки для экрана, жидкость для экрана, спрей для экрана, набор для чистки экрана, чистка монитора средство, очиститель дисплея, средство для монитора, уход за экраном";"засіб для чищення екранів, очищувач екрана, серветки для екрана, рідина для екрана, спрей для екрана, набір для чищення екрана, засіб для монітора, очищувач дисплея, догляд за екраном, чистка монітора засіб";средство для чистки экранов;засіб для чищення екранів;"Виробник, Тип устройства"
54;301112;https://prom.ua/Kozhuhi-i-kronshtejny;Кронштейни для камер;"кронштейн для камеры, крепление для камеры видеонаблюдения, настенный кронштейн для камеры, потолочный кронштейн для камеры, держатель камеры, монтаж камеры видеонаблюдения, крепеж для камер, кронштейн для ip камеры, универсальный кронштейн для камеры, аксессуары для установки камер";"кронштейн для камери, кріплення для камери відеоспостереження, настінний кронштейн для камери, стельовий кронштейн для камери, тримач камери, монтаж камери відеоспостереження, кріплення для камер, кронштейн для ip камери, універсальний кронштейн для камери, аксесуари для встановлення камер";кронштейн для камеры;кронштейн для камери;"Виробник, Тип устройства, Матеріал, Тип кріплення кронштейна, Маx нагрузка на кронштейн,"
55;5092913;https://prom.ua/Korobki-montazhnye;Розподільні коробки для камер;"распределительная коробка для камеры, монтажная коробка для камеры, коробка для подключения камеры, герметичная коробка для камеры, коробка коммутационная для камер, коробка для ip камеры, аксессуары для монтажа камер, защитная коробка для камеры, коробка для видеонаблюдения, монтажная коробка видеонаблюдения";"розподільна коробка для камери, монтажна коробка для камери, коробка для підключення камери, герметична коробка для камери, комутаційна коробка для камер, коробка для ip камери, аксесуари для монтажу камер, захисна коробка для камери, коробка для відеоспостереження, монтажна коробка відеоспостереження";распределительная коробка для камеры;розподільна коробка для камери;"Виробник, Тип устройства, Матеріал корпусу, Максимально допустиме навантаження"
56;5092913;https://prom.ua/Korobki-montazhnye;Розподільні коробки;"распределительная коробка, монтажная коробка, электрическая распределительная коробка, коробка для проводки, коммутационная коробка, коробка для кабелей, коробка для соединения проводов, распределительная коробка наружная, распределительная коробка внутренняя, коробка электрическая";"розподільна коробка, монтажна коробка, електрична розподільна коробка, коробка для проводки, комутаційна коробка, коробка для кабелів, коробка для з'єднання проводів, розподільна коробка зовнішня, розподільна коробка внутрішня, коробка електрична";распределительная коробка;розподільна коробка;"Виробник, Тип устройства, Матеріал корпусу, Максимально допустиме навантаження"
57;6371204;https://prom.ua/Mikrofony;Зовнішні мікрофони;"внешний микрофон для видеонаблюдения, микрофон для камеры, аудио микрофон для систем безопасности, микрофон для записи звука, микрофон для ip камеры, внешний аудио датчик, микрофон наблюдения, устройство записи звука, микрофон для видеосистем, аксессуары аудио наблюдения";"зовнішній мікрофон для відеоспостереження, мікрофон для камери, аудіо мікрофон для систем безпеки, мікрофон для запису звуку, мікрофон для ip камери, зовнішній аудіо датчик, мікрофон спостереження, пристрій запису звуку, мікрофон для відеосистем, аксесуари аудіо спостереження";внешний микрофон;зовнішній мікрофон;"Виробник, Тип устройства"
58;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;Пульти управління;"пульт управления видеонаблюдением, пульт для камер, контроллер управления камерами, пульт для систем безопасности, устройство управления видеонаблюдением, пульт управления ptz камерами, пульт оператора видеонаблюдения, контроллер видеосистемы, аксессуары управления камерами, пульт дистанционного управления камерами";"пульт управління відеоспостереженням, пульт для камер, контролер керування камерами, пульт для систем безпеки, пристрій керування відеоспостереженням, пульт управління ptz камерами, пульт оператора відеоспостереження, контролер відеосистеми, аксесуари керування камерами, пульт дистанційного керування камерами";пульт управления;пульт управління;"Виробник, Тип устройства"
59;150401;https://prom.ua/Naruzhnoe-osveschenie;Прожектори інфрачервоні;"инфракрасный прожектор, ик прожектор для камер, прожектор ночного видения, подсветка для видеонаблюдения, ик подсветка для камер, прожектор для ночной съемки, инфракрасная подсветка, прожектор для систем безопасности, ик освещение для камер, прожектор для охраны";"інфрачервоний прожектор, ік прожектор для камер, прожектор нічного бачення, підсвітка для відеоспостереження, ік підсвітка для камер, прожектор для нічної зйомки, інфрачервона підсвітка, прожектор для систем безпеки, ік освітлення для камер, прожектор для охорони";инфракрасный прожектор;інфрачервоний прожектор;"Виробник, Тип устройства"
60;6371809;https://prom.ua/Priemniki-i-peredatchiki-signala;Перехідники та балуни;"видео балун, пассивный балун для камер, переходник для видеонаблюдения, адаптер для камер, balun для передачи сигнала, переходник bnc, аксессуары подключения камер, конвертер сигнала для видеонаблюдения, balun витая пара, адаптер видеосигнала";"відео балун, пасивний балун для камер, перехідник для відеоспостереження, адаптер для камер, balun для передачі сигналу, перехідник bnc, аксесуари підключення камер, конвертер сигналу для відеоспостереження, balun вита пара, адаптер відеосигналу";видео балун;відео балун;"Виробник, Тип устройства"
61;14190406;https://prom.ua/Razemy-i-konnektory;Конектори і роз'єми;"bnc разъем, коннектор для видеонаблюдения, разъем для камер, rj45 коннектор, штекер для кабеля, соединитель кабеля, коннектор питания, разъем питания для камер, аксессуары подключения, коннекторы для кабелей";"bnc роз'єм, конектор для відеоспостереження, роз'єм для камер, rj45 конектор, штекер для кабелю, з'єднувач кабелю, конектор живлення, роз'єм живлення для камер, аксесуари підключення, конектори для кабелів";bnc разъем;bnc роз'єм;"Виробник, Тип устройства"
62;63719;https://prom.ua/Audio-video-kabeli-perehodniki-razemy;Кабелі для живлення;"кабель питания для камер, провод питания видеонаблюдения, кабель 12v для камер, кабель питания системы безопасности, провод для подключения камер, кабель электропитания, кабель dc для камер, кабель питания видеосистем, кабель для подключения оборудования, провод питания устройств";"кабель живлення для камер, провід живлення відеоспостереження, кабель 12v для камер, кабель живлення системи безпеки, провід для підключення камер, кабель електроживлення, кабель dc для камер, кабель живлення відеосистем, кабель для підключення обладнання, провід живлення пристроїв";кабель питания;кабель живлення;"Виробник, Тип устройства"
63;6371808;https://prom.ua/Kommutator-signala;"HDMI, VGA підсилювачі";"hdmi усилитель сигнала, vga усилитель сигнала, усилитель hdmi, усилитель vga, репитер hdmi сигнала, усилитель видеосигнала, устройство усиления сигнала, hdmi extender, vga extender, усилитель передачи видео";"hdmi підсилювач сигналу, vga підсилювач сигналу, підсилювач hdmi, підсилювач vga, репітер hdmi сигналу, підсилювач відеосигналу, пристрій підсилення сигналу, hdmi extender, vga extender, підсилювач передачі відео";hdmi усилитель;vga підсилювач;"Виробник, Тип устройства"
64;301106;https://prom.ua/Obektivy-dlya-kamer-videonablyudeniya;Об'єктиви;"объектив камеры, линза камеры, объектив видеонаблюдения, линза видеокамеры, объектив для камеры, оптика камеры, объектив cctv, линза наблюдения, объектив сменный, объектив видеосистемы";"об’єктив камери, лінза камери, об’єктив відеоспостереження, лінза відеокамери, об’єктив для камери, оптика камери, об’єктив cctv, лінза спостереження, об’єктив змінний, об’єктив відеосистеми";объектив камеры;об’єктив камери;"Виробник, Тип устройства"
65;3029;https://prom.ua/Domofony-videodomofony;Відеодомофон;"домофон, монитор домофона, домофонная система, видеодомофон для квартиры, видеодомофон для дома, внутренний видеодомофон, цветной видеодомофон, комплект домофона, домофон с экраном";"домофон, монітор домофону, домофонна система, відеодомофон для квартири, відеодомофон для дому, внутрішній відеодомофон, кольоровий відеодомофон, комплект домофону, домофон з екраном";видеодомофон;відеодомофон;"Виробник, Тип устройства, Діагональ екрану (дюйм), Порт для SD-карти, Інтерфейс, Протокол зв'язку"
66;3029;https://prom.ua/Domofony-videodomofony;Комплекти відеодомофонів;"комплект видеодомофона, комплект видеодомофона для дома, набор видеодомофона, система видеодомофона, комплект домофона с камерой, видеодомофон комплект с монитором, комплект видеодомофона для квартиры, домофон система комплект";"комплект відеодомофона, комплект відеодомофона для дому, набір відеодомофона, система відеодомофона, комплект домофона з камерою, відеодомофон комплект з монітором, комплект відеодомофона для квартири, домофон система комплект";комплект видеодомофона;комплект відеодомофона;"Виробник, Тип устройства, Діагональ екрану (дюйм), Порт для SD-карти, Інтерфейс, Протокол зв'язку"
67;3029;https://prom.ua/Domofony-videodomofony;Відеопанель кольорова виклична;"вызывная панель с камерой, панель вызова для домофона, кнопка вызова с камерой, уличная вызывная панель, наружная вызывная панель, антивандальная вызывная панель, кнопка домофона, вызывной блок с камерой, панель видеодомофона";"виклична панель з камерою, панель виклику для домофону, кнопка виклику з камерою, вулична виклична панель, зовнішня виклична панель, антивандальна виклична панель, кнопка домофону, викличний блок з камерою, панель відеодомофону";вызывная панель;виклична панель;"Виробник, Тип устройства, Кількість абонентів, Кут огляду камери по горизонталі, Кут огляду камери, Роздільна здатність камери (ТВЛ), Роздільна здатність камери (Мп), Протокол зв'язку"
68;3029;https://prom.ua/Domofony-videodomofony;Аудіодомофон;"аудиодомофон, домофонная трубка, переговорное устройство, домофон без видео, домофон голосовой, домофонный комплект, домофон для квартиры, домофон простой";"аудіодомофон, домофонна трубка, переговорний пристрій, домофон без відео, домофон голосовий, домофонний комплект, домофон для квартири, домофон простий";аудиодомофон;аудіодомофон;"Виробник, Тип устройства"
69;50906;https://prom.ua/Peregovornye-ustrojstva;Аудіодомофон;"аудиодомофон, домофонная трубка, переговорное устройство, домофон без видео, домофон голосовой, домофонный комплект, домофон для квартиры, домофон простой";"аудіодомофон, домофонна трубка, переговорний пристрій, домофон без відео, домофон голосовий, домофонний комплект, домофон для квартири, домофон простий";аудиодомофон;аудіодомофон;"Виробник, Тип устройства"
70;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Кронштейни та рамки для домофонів;"кронштейн для домофона, рамка для домофона, крепление домофона, монтажная рамка домофона, держатель домофона, настенное крепление домофона, рамка для панели домофона, аксессуары для домофона";"кронштейн для домофона, рамка для домофона, кріплення домофона, монтажна рамка домофона, тримач домофона, настінне кріплення домофона, рамка для панелі домофона, аксесуари для домофона";кронштейн домофона;кронштейн домофона;"Виробник, Тип устройства"
71;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Аудіотрубки для домофонів;"аудиотрубка домофона, трубка для домофона, переговорная трубка домофона, домофонная трубка, трубка для аудиодомофона, проводная трубка домофона, внутренняя трубка домофона, трубка связи домофона";"аудіотрубка домофона, трубка для домофона, переговорна трубка домофона, домофонна трубка, трубка для аудіодомофона, провідна трубка домофона, внутрішня трубка домофона, трубка зв'язку домофона";трубка домофона;трубка домофона;"Виробник, Тип устройства"
72;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Пристрої для підключення домофонів;"модуль подключения домофона, адаптер домофона, устройство подключения домофона, блок подключения домофона, интерфейс домофона, контроллер домофона, плата подключения домофона, модуль сопряжения домофона";"модуль підключення домофона, адаптер домофона, пристрій підключення домофона, блок підключення домофона, інтерфейс домофона, контролер домофона, плата підключення домофона, модуль узгодження домофона";модуль домофона;модуль домофона;"Виробник, Тип устройства"
73;153502;https://prom.ua/Aksessuary-dlya-domofonnogo;Гнучкий перехід;"гибкий переход для кабеля, кабельный переход гибкий, гибкий ввод кабеля, переходник кабельный гибкий, защита кабеля гибкая, гофра для кабеля, кабельный ввод гибкий, гибкий соединитель кабеля";"гнучкий перехід для кабелю, кабельний перехід гнучкий, гнучкий ввід кабелю, перехідник кабельний гнучкий, захист кабелю гнучкий, гофра для кабелю, кабельний ввід гнучкий, гнучкий з'єднувач кабелю";гибкий переход;гнучкий перехід;"Виробник, Тип устройства"
74;153729;https://prom.ua/ua/Takticheskie-teplovizory-;монокуляр;"тепловизионный монокуляр, тепловизор монокуляр, монокуляр тепловизионный, тепловизионная оптика, прибор ночного видения тепловизор, тепловизионный прибор, тепловизионный наблюдатель, цифровой тепловизор, монокуляр для наблюдения, тепловизор для охоты";"тепловізійний монокуляр, тепловізор монокуляр, монокуляр тепловізійний, тепловізійна оптика, прилад нічного бачення тепловізор, тепловізійний прилад, тепловізійний спостерігач, цифровий тепловізор, монокуляр для спостереження, тепловізор для полювання";тепловизионный монокуляр;тепловізійний монокуляр;"Виробник, Тип устройства"
75;153729;https://prom.ua/ua/Takticheskie-teplovizory-;приціл;"тепловизионный прицел, теплоприцел, прицел тепловизионный, тепловизор для оружия, цифровой теплоприцел, тепловизионная оптика, прицел ночного видения, прицел для охоты, тепловизионный прибор, оптический теплоприцел";"тепловізійний приціл, теплоприціл, приціл тепловізійний, тепловізор для зброї, цифровий теплоприціл, тепловізійна оптика, приціл нічного бачення, приціл для полювання, тепловізійний прилад, оптичний теплоприціл";тепловизионный прицел;тепловізійний приціл;"Виробник, Тип устройства"
76;153729;https://prom.ua/ua/Takticheskie-teplovizory-;бінокуляр;"тепловизионный бинокль, тепловизионный бинокуляр, бинокль тепловизионный, тепловизор бинокль, прибор тепловизионный бинокль, цифровой тепловизионный бинокль, тепловизионная оптика, бинокль ночного видения, тепловизионный прибор, бинокль для наблюдения";"тепловізійний бінокуляр, тепловізійний бінокль, бінокль тепловізійний, тепловізор бінокль, прилад тепловізійний бінокль, цифровий тепловізійний бінокль, тепловізійна оптика, бінокль нічного бачення, тепловізійний прилад, бінокль для спостереження";тепловизионный бинокль;тепловізійний бінокуляр;"Виробник, Тип устройства"
77;63719;https://prom.ua/ua/Audio-video-kabeli-perehodniki-razemy;кабель;"кабель для монокуляра, кабель тепловизора, кабель для тепловизионного монокуляра, кабель питания тепловизора, usb кабель монокуляра, соединительный кабель тепловизора, кабель зарядки монокуляра, кабель аксессуар тепловизора, провод для тепловизора, кабель для оптики";"кабель для монокуляра, кабель тепловізора, кабель для тепловізійного монокуляра, кабель живлення тепловізора, usb кабель монокуляра, з'єднувальний кабель тепловізора, кабель зарядки монокуляра, кабель аксесуар тепловізора, провід для тепловізора, кабель для оптики";кабель для монокуляра;кабель для монокуляра;"Виробник, Тип устройства"
78;153729;https://prom.ua/ua/Takticheskie-teplovizory-;насадка на приціл;"насадка на прицел, тепловизионная насадка, насадка для оптики, насадка тепловизор, цифровая насадка на прицел, насадка ночного видения, насадка для теплоприцела, оптическая насадка, насадка для наблюдения, тепловизионный модуль";"насадка на приціл, тепловізійна насадка, насадка для оптики, насадка тепловізор, цифрова насадка на приціл, насадка нічного бачення, насадка для теплоприцілу, оптична насадка, насадка для спостереження, тепловізійний модуль";насадка на прицел;насадка на приціл;"Виробник, Тип устройства"
79;190407;https://prom.ua/ua/Komplektuyuschie-dlya-opticheskih-priborov;кріплення;"крепление для тепловизионного прицела, кронштейн для теплоприцела, крепление для оптики, крепление тепловизора, монтаж для теплоприцела, крепеж для тепловизионной оптики, кронштейн прицела, крепление на оружие, адаптер крепления тепловизора, быстросъемное крепление прицела";"кріплення для тепловізійних прицілів, кронштейн для теплоприцілу, кріплення для оптики, кріплення тепловізора, монтаж для теплоприцілу, кріплення для тепловізійної оптики, кронштейн прицілу, кріплення на зброю, адаптер кріплення тепловізора, швидкознімне кріплення прицілу";крепление для тепловизионного прицела;кріплення для тепловізійного прицілу;"Виробник, Тип устройства"
80;153709;https://prom.ua/ua/Termometry-pirometry-teplovizory;моніторинг температури тіла;"ручной термограф, тепловизионная камера, тепловизор ручной, термограф цифровой, инфракрасный термограф, прибор тепловизионный, термокамера ручная, устройство теплового контроля, тепловизор диагностический, портативный термограф";"ручний термограф, тепловізійна камера, тепловізор ручний, термограф цифровий, інфрачервоний термограф, прилад тепловізійний, термокамера ручна, пристрій теплового контролю, тепловізор діагностичний, портативний термограф";ручной термограф;ручний термограф;"Виробник, Тип устройства"
81;190407;https://prom.ua/ua/Komplektuyuschie-dlya-opticheskih-priborov;адаптер;"адаптер для тепловизионного прицела, адаптер крепления теплоприцела, переходник для тепловизора, адаптер для оптики, адаптер монтажа прицела, соединительный адаптер тепловизора, адаптер для крепления, адаптер для тепловизионной оптики, переходник прицела, адаптер оружейный тепловизора";"адаптер для тепловізійних прицілів, адаптер кріплення теплоприцілу, перехідник для тепловізора, адаптер для оптики, адаптер монтажу прицілу, з'єднувальний адаптер тепловізора, адаптер для кріплення, адаптер для тепловізійної оптики, перехідник прицілу, адаптер збройовий тепловізора";адаптер для тепловизионного прицела;адаптер для тепловізійного прицілу;"Виробник, Тип устройства"
82;5280501;https://prom.ua/ua/Akkumulyatornye-bloki;"зарядний пристрій, батарея";"зарядное устройство для монокуляра, батарея для тепловизора, аккумулятор для монокуляра, зарядка тепловизора, аккумуляторная батарея тепловизора, зарядное устройство тепловизионное, питание для монокуляра, аккумулятор для теплоприцела, батарея тепловизионная, аксессуары для тепловизора";"зарядний пристрій для монокуляра, батарея для тепловізора, акумулятор для монокуляра, зарядка тепловізора, акумуляторна батарея тепловізора, зарядний пристрій тепловізійний, живлення для монокуляра, акумулятор для теплоприцілу, батарея тепловізійна, аксесуари для тепловізора";зарядное устройство для монокуляра;зарядний пристрій для монокуляра;"Виробник, Тип устройства"
83;15370706;https://prom.ua/Pribory-nochnogo-videniya;Комплектуючі для ПНБ;"комплектующие пнв, аксессуары для пнв, запчасти для приборов ночного видения, крепления для пнв, элементы питания пнв, линзы для пнв, кабели для пнв, модули для пнв";"комплектуючі пнб, аксесуари для пнб, запчастини для приладів нічного бачення, кріплення для пнб, елементи живлення пнб, лінзи для пнб, кабелі для пнб, модулі для пнб";комплектующие пнв;комплектуючі пнб;"Виробник, Тип устройства"
84;15370706;https://prom.ua/Pribory-nochnogo-videniya;Прилади ПНБ;"прибор ночного видения, пнв для наблюдения, ночной бинокль, ночной монокуляр, цифровой прибор ночного видения, инфракрасный прибор ночного видения, пнв для охраны, устройство ночного видения";"прилад нічного бачення, пнб для спостереження, нічний бінокль, нічний монокуляр, цифровий прилад нічного бачення, інфрачервоний прилад нічного бачення, пнб для охорони, пристрій нічного бачення";прибор ночного видения;прилад нічного бачення;"Виробник, Тип устройства"
85;50906;https://prom.ua/Peregovornye-ustrojstva;Рації;"рация портативная, радиостанция переносная, рация для связи, радиостанция двусторонняя, рация для охраны, рация с гарнитурой, профессиональная рация, рация дальнего действия";"рація портативна, радіостанція переносна, рація для зв'язку, радіостанція двостороння, рація для охорони, рація з гарнітурою, професійна рація, рація дальньої дії";рация;рація;"Виробник, Тип устройства"
86;2657;https://prom.ua/Kvadrokoptery;;"квадрокоптер дрон, дрон с камерой, fpv дрон, беспилотник квадрокоптер, дрон для съемки, профессиональный дрон, складной дрон, дрон с gps";"квадрокоптер дрон, дрон з камерою, fpv дрон, безпілотник квадрокоптер, дрон для зйомки, професійний дрон, складаний дрон, дрон з gps";дрон;дрон;Виробник
87;500415;https://prom.ua/Zapchasti-dlya-kvadrokopterov;;"аккумулятор для квадрокоптера, батарея для дрона, аккумулятор дрона lipo, запасной аккумулятор квадрокоптера, батарея для fpv дрона, аккумулятор для беспилотника, аккумулятор для дрона с камерой, lipo батарея для дрона";"акумулятор для квадрокоптера, батарея для дрона, акумулятор дрона lipo, запасний акумулятор квадрокоптера, батарея для fpv дрона, акумулятор для безпілотника, акумулятор для дрона з камерою, lipo батарея для дрона";аккумулятор для дрона;акумулятор для дрона;Виробник
88;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;Централі;"приемно контрольный прибор охранный, пкп охранной сигнализации, контрольная панель сигнализации, прибор охранной системы, централь охранной сигнализации, блок управления сигнализации, пульт охраны, система охранной сигнализации";"приймально контрольний прилад охоронний, пкп охоронної сигналізації, контрольна панель сигналізації, прилад охоронної системи, централь охоронної сигналізації, блок управління сигналізації, пульт охорони, система охоронної сигналізації";приемно контрольный прибор;приймально контрольний прилад;"Виробник, Тип устройства"
89;302302;https://prom.ua/Ohrannye-izveschateli;руху;"датчик движения, сенсор движения, датчик движения сигнализации, охранный датчик движения, инфракрасный датчик движения, датчик присутствия, датчик движения для дома, motion sensor, датчик тревоги движения, беспроводной датчик движения";"датчик руху, сенсор руху, датчик руху сигналізації, охоронний датчик руху, інфрачервоний датчик руху, датчик присутності, датчик руху для дому, motion sensor, датчик тривоги руху, бездротовий датчик руху";датчик движения;датчик руху;"Виробник, Тип устройства"
90;302302;https://prom.ua/Ohrannye-izveschateli;рух та камера;"датчик движения с камерой, камера с датчиком движения, охранная камера датчик, motioncam, датчик движения фотофиксация, сигнализация с камерой, камера для охраны, датчик с фотоподтверждением, камера движения, датчик движения ajax";"датчик руху з камерою, камера з датчиком руху, охоронна камера датчик, motioncam, датчик руху фотофіксація, сигналізація з камерою, камера для охорони, датчик з фотопідтвердженням, камера руху, датчик руху ajax";датчик движения с камерой;датчик руху з камерою;"Виробник, Тип устройства"
91;302302;https://prom.ua/Ohrannye-izveschateli;розбиття скла;"датчик разбития стекла, извещатель разбития, датчик стекла сигнализации, сенсор разбития окна, акустический датчик стекла, охранный датчик стекла, детектор разбития стекла, датчик тревоги стекла, датчик разбития ajax, датчик стекла для дома";"датчик розбиття скла, сповіщувач розбиття, датчик скла сигналізації, сенсор розбиття вікна, акустичний датчик скла, охоронний датчик скла, детектор розбиття скла, датчик тривоги скла, датчик розбиття ajax, датчик скла для дому";датчик разбития стекла;датчик розбиття скла;"Виробник, Тип устройства"
