№;Ідентифікатор_підрозділу;Посилання_підрозділу;Тип устройства;universal_phrases_ru;universal_phrases_ua;base_keyword_ru;base_keyword_ua;allowed_specs
59;15380311;https://prom.ua/Dovodchiki-dverej;Доводчики дверей;"доводчик двери, дверной доводчик, гидравлический доводчик, доводчик для входной двери, доводчик накладной, доводчик дверной механизм, доводчик автоматического закрывания, доводчик для офиса";"доводчик дверей, дверний доводчик, гідравлічний доводчик, доводчик для вхідних дверей, доводчик накладний, доводчик дверний механізм, доводчик автоматичного закривання, доводчик для офісу";доводчик;доводчик;Виробник
60;301310;https://prom.ua/Identifikatory;Карты доступа и брелки для домофонов;"карта доступа rfid, брелок доступа, карта для домофона, ключ брелок домофона, карта proximity, брелок rfid, карта контроля доступа, ключ карта домофона";"картка доступу rfid, брелок доступу, картка для домофона, ключ брелок домофона, картка proximity, брелок rfid, картка контролю доступу, ключ картка домофона";карта доступа;картка доступу;Виробник
61;135605;https://prom.ua/Shlagbaumy;Автоматичні шлагбауми;"автоматический шлагбаум, шлагбаум парковки, шлагбаум въезда, шлагбаум контроль доступа, шлагбаум автомат, шлагбаум система, шлагбаум для парковки, барьер шлагбаум, шлагбаум дорога, шлагбаум управление";"автоматичний шлагбаум, шлагбаум паркінгу, шлагбаум в’їзду, шлагбаум контроль доступу, шлагбаум автомат, шлагбаум система, шлагбаум для паркінгу, бар’єр шлагбаум, шлагбаум дорога, шлагбаум керування";автоматический шлагбаум;автоматичний шлагбаум;"Виробник, Тип устройства"
62;301501;https://prom.ua/Dorozhnye-ograzhdeniya;Бар'єри;"барьер парковочный, дорожный барьер, барьер ограничитель, барьер въезда, барьер безопасности, барьер контроль доступа, барьер механический, барьер парковки, барьер ограждение, барьер защиты";"бар’єр паркувальний, дорожній бар’єр, бар’єр обмежувач, бар’єр в’їзду, бар’єр безпеки, бар’єр контроль доступу, бар’єр механічний, бар’єр паркінгу, бар’єр огорожа, бар’єр захисту";барьер парковочный;бар’єр паркувальний;"Виробник, Тип устройства"
63;13560901;https://prom.ua/Aksessuary-dlya-vorot-i-shagbaumov;Комплектуючі до шлагбаумів;"комплектующие шлагбаума, аксессуары шлагбаума, детали шлагбаума, запчасти шлагбаума, стрела шлагбаума, блок управления шлагбаума, элементы шлагбаума, комплектующие барьера, аксессуары барьера, детали барьера";"комплектуючі шлагбаума, аксесуари шлагбаума, деталі шлагбаума, запчастини шлагбаума, стріла шлагбаума, блок керування шлагбаума, елементи шлагбаума, комплектуючі бар’єра, аксесуари бар’єра, деталі бар’єра";комплектующие шлагбаума;комплектуючі шлагбаума;"Виробник, Тип устройства"
64;70306;https://prom.ua/Shkafy-servernye;Бокси монтажні;"монтажный бокс, распределительный бокс, короб монтажный, бокс для кабеля, уличный монтажный бокс, герметичный бокс, бокс для оборудования, бокс для соединений";"монтажний бокс, розподільчий бокс, короб монтажний, бокс для кабелю, вуличний монтажний бокс, герметичний бокс, бокс для обладнання, бокс для з'єднань";монтажный бокс;монтажний бокс;"Виробник, Тип устройства"
65;70306;https://prom.ua/Shkafy-servernye;Серверні шафи;"серверный шкаф, шкаф серверный стойка, шкаф для серверного оборудования, телекоммуникационный шкаф, серверная стойка, шкаф 19 дюймов, шкаф для сети, шкаф для оборудования";"серверна шафа, шафа серверна стійка, шафа для серверного обладнання, телекомунікаційна шафа, серверна стійка, шафа 19 дюймів, шафа для мережі, шафа для обладнання";серверный шкаф;серверна шафа;"Виробник, Тип устройства"
66;7190605;https://prom.ua/Kabel-telefonnyj;Мережевий кабель;"сетевой кабель, кабель витая пара, кабель ethernet, lan кабель, интернет кабель, кабель rj45, кабель для сети, кабель cat5e cat6";"мережевий кабель, кабель кручена пара, кабель ethernet, lan кабель, інтернет кабель, кабель rj45, кабель для мережі, кабель cat5e cat6";сетевой кабель;мережевий кабель;"Виробник, Тип устройства"
67;7190605;https://prom.ua/Kabel-telefonnyj;Сигнальний кабель;"сигнальный кабель, кабель для сигнализации, кабель передачи сигнала, кабель управления сигналом, кабель для датчиков, кабель связи, многожильный сигнальный кабель, кабель для систем безопасности";"сигнальний кабель, кабель для сигналізації, кабель передачі сигналу, кабель управління сигналом, кабель для датчиків, кабель зв'язку, багатожильний сигнальний кабель, кабель для систем безпеки";сигнальный кабель;сигнальний кабель;"Виробник, Тип устройства"
68;7190605;https://prom.ua/Kabel-telefonnyj;Силовий кабель;"силовой кабель, кабель питания силовой, электрический силовой кабель, кабель 220в, кабель для электропитания, медный силовой кабель, кабель для нагрузки, кабель электросети";"силовий кабель, кабель живлення силовий, електричний силовий кабель, кабель 220в, кабель для електроживлення, мідний силовий кабель, кабель для навантаження, кабель електромережі";силовой кабель;силовий кабель;"Виробник, Тип устройства"
69;7190605;https://prom.ua/Kabel-telefonnyj;Коаксіальний кабель;"коаксиальный кабель, кабель rg6, кабель для антенны, кабель для видеонаблюдения, телевизионный кабель, кабель rg59, кабель для сигнала, кабель коаксиал";"коаксіальний кабель, кабель rg6, кабель для антени, кабель для відеоспостереження, телевізійний кабель, кабель rg59, кабель для сигналу, кабель коаксіал";коаксиальный кабель;коаксіальний кабель;"Виробник, Тип устройства"
70;7190605;https://prom.ua/Kabel-telefonnyj;Комбінований кабель;"комбинированный кабель, кабель питание плюс сигнал, кабель для камер комбинированный, кабель cctv комбинированный, кабель видео питание, кабель 2в1, кабель для видеонаблюдения комбинированный, кабель универсальный";"комбінований кабель, кабель живлення плюс сигнал, кабель для камер комбінований, кабель cctv комбінований, кабель відео живлення, кабель 2в1, кабель для відеоспостереження комбінований, кабель універсальний";комбинированный кабель;комбінований кабель;"Виробник, Тип устройства"
71;7190605;https://prom.ua/Kabel-telefonnyj;Оптичний кабель;"оптический кабель, волоконно оптический кабель, кабель оптоволоконный, кабель для интернета оптика, кабель связи оптика, кабель ftth, кабель для передачи данных оптика, кабель fiber optic";"оптичний кабель, волоконно оптичний кабель, кабель оптоволоконний, кабель для інтернету оптика, кабель зв'язку оптика, кабель ftth, кабель для передачі даних оптика, кабель fiber optic";оптический кабель;оптичний кабель;"Виробник, Тип устройства"
72;7190605;https://prom.ua/Kabel-telefonnyj;Патч-корд оптичний кабель;"оптический патч корд, оптоволоконный патч корд, fiber patch cord, кабель оптический патч, патч кабель оптика, шнур оптический, патч корд lc sc, кабель оптика короткий";"оптичний патч корд, оптоволоконний патч корд, fiber patch cord, кабель оптичний патч, патч кабель оптика, шнур оптичний, патч корд lc sc, кабель оптика короткий";патч корд оптика;патч корд оптика;"Виробник, Тип устройства"
73;7190605;https://prom.ua/Kabel-telefonnyj;Пігтейл оптичний кабель;"оптический пигтейл, пигтейл оптоволоконный, fiber pigtail, пигтейл lc sc, кабель оптический пигтейл, пигтейл сварка оптики, хвост оптический, пигтейл кабель";"оптичний пігтейл, пігтейл оптоволоконний, fiber pigtail, пігтейл lc sc, кабель оптичний пігтейл, пігтейл зварка оптики, хвіст оптичний, пігтейл кабель";пигтейл оптика;пігтейл оптика;"Виробник, Тип устройства"
74;7190605;https://prom.ua/Kabel-telefonnyj;HDMI кабель;"hdmi кабель, кабель hdmi, кабель для телевизора hdmi, кабель hdmi high speed, кабель для монитора hdmi, кабель hdmi 4k, кабель передачи видео hdmi, кабель hdmi длина";"hdmi кабель, кабель hdmi, кабель для телевізора hdmi, кабель hdmi high speed, кабель для монітора hdmi, кабель hdmi 4k, кабель передачі відео hdmi, кабель hdmi довжина";hdmi кабель;hdmi кабель;"Виробник, Тип устройства"
75;7190605;https://prom.ua/Kabel-telefonnyj;HDMI-DVI-D кабель;"hdmi dvi кабель, кабель hdmi dvi d, переходник hdmi dvi кабель, кабель для монитора hdmi dvi, кабель видео hdmi dvi, кабель подключения dvi hdmi, кабель адаптер hdmi dvi, кабель для передачи видео dvi hdmi";"hdmi dvi кабель, кабель hdmi dvi d, перехідник hdmi dvi кабель, кабель для монітора hdmi dvi, кабель відео hdmi dvi, кабель підключення dvi hdmi, кабель адаптер hdmi dvi, кабель для передачі відео dvi hdmi";hdmi dvi кабель;hdmi dvi кабель;"Виробник, Тип устройства"
76;7190605;https://prom.ua/Kabel-telefonnyj;DisplayPort-HDMI кабель;"displayport hdmi кабель, кабель displayport hdmi, переходник displayport hdmi кабель, кабель для монитора displayport hdmi, кабель видео displayport hdmi, адаптер displayport hdmi кабель, кабель dp hdmi, кабель передачи видео dp hdmi";"displayport hdmi кабель, кабель displayport hdmi, перехідник displayport hdmi кабель, кабель для монітора displayport hdmi, кабель відео displayport hdmi, адаптер displayport hdmi кабель, кабель dp hdmi, кабель передачі відео dp hdmi";displayport hdmi кабель;displayport hdmi кабель;"Виробник, Тип устройства"
77;7190605;https://prom.ua/Kabel-telefonnyj;SATA кабель;"sata кабель, кабель sata для диска, кабель подключения hdd sata, кабель ssd sata, кабель передачи данных sata, кабель sata iii, кабель питания sata, кабель для жесткого диска";"sata кабель, кабель sata для диска, кабель підключення hdd sata, кабель ssd sata, кабель передачі даних sata, кабель sata iii, кабель живлення sata, кабель для жорсткого диска";sata кабель;sata кабель;"Виробник, Тип устройства"
78;71903;https://prom.ua/Kommutatory;Коммутаторы;"коммутатор сетевой, свитч ethernet, коммутатор lan, сетевой switch, управляемый коммутатор, неуправляемый коммутатор, коммутатор для сети, коммутатор 24 порта";"комутатор мережевий, світч ethernet, комутатор lan, мережевий switch, керований комутатор, некерований комутатор, комутатор для мережі, комутатор 24 порти";коммутатор;комутатор;Виробник
79;71902;https://prom.ua/Routeryi;Маршрутизаторы;"маршрутизатор wifi, роутер интернет, маршрутизатор беспроводной, роутер для дома, маршрутизатор lan wan, wifi роутер, маршрутизатор для сети, роутер с антеннами";"маршрутизатор wifi, роутер інтернет, маршрутизатор бездротовий, роутер для дому, маршрутизатор lan wan, wifi роутер, маршрутизатор для мережі, роутер з антенами";маршрутизатор;маршрутизатор;Виробник
80;7190603;https://prom.ua/Setevye-kontsentratory;Точки доступа;"точка доступа wifi, wifi access point, точка доступа беспроводная, точка доступа для сети, wifi точка доступа для дома, точка доступа потолочная, точка доступа lan, точка доступа с poe";"точка доступу wifi, wifi access point, точка доступу бездротова, точка доступу для мережі, wifi точка доступу для дому, точка доступу стельова, точка доступу lan, точка доступу з poe";точка доступа;точка доступу;Виробник
81;50928;https://prom.ua/Oborudovanie-dlya-pitaniya-po-ethernet;Инжекторы;"poe инжектор, инжектор питания poe, poe адаптер, инжектор для камеры, poe блок питания, инжектор ethernet poe, poe injector, инжектор для сети";"poe інжектор, інжектор живлення poe, poe адаптер, інжектор для камери, poe блок живлення, інжектор ethernet poe, poe injector, інжектор для мережі";poe инжектор;poe інжектор;Виробник
82;5090506;https://prom.ua/Mosty-shlyuzy-besprovodnyh-setej;Wi-Fi мосты;"wifi мост, беспроводной мост wifi, мост для передачи сигнала, wifi bridge, мост между сетями, точка мост wifi, мост дальнего действия, мост для интернета";"wifi міст, бездротовий міст wifi, міст для передачі сигналу, wifi bridge, міст між мережами, точка міст wifi, міст дальньої дії, міст для інтернету";wifi мост;wifi міст;Виробник
83;5092006;https://prom.ua/Opticheskij-konverter;"Конвертеры, SFP модули";"sfp модуль, оптический трансивер sfp, sfp конвертер, модуль sfp для коммутатора, sfp модуль gigabit, трансивер sfp, sfp адаптер, модуль для оптики";"sfp модуль, оптичний трансивер sfp, sfp конвертер, модуль sfp для комутатора, sfp модуль gigabit, трансивер sfp, sfp адаптер, модуль для оптики";sfp модуль;sfp модуль;Виробник
84;5092902;https://prom.ua/Patch-paneli;Патч-панелі;"патч панель, patch panel, панель коммутационная, патч панель rj45, панель для сети, коммутационная панель 24 порта, патч панель серверная, панель подключения";"патч панель, patch panel, панель комутаційна, патч панель rj45, панель для мережі, комутаційна панель 24 порти, патч панель серверна, панель підключення";патч панель;патч панель;"Виробник, Тип устройства"
85;14190406;https://prom.ua/Razemy-i-konnektory;Конектори і з'єднувачі для крученої пари;"коннектор rj45, разъем для витой пары, коннектор ethernet, соединитель rj45, коннектор для кабеля сети, штекер rj45, соединитель витой пары, разъем lan кабеля";"конектор rj45, роз'єм для крученої пари, конектор ethernet, з'єднувач rj45, конектор для кабелю мережі, штекер rj45, з'єднувач крученої пари, роз'єм lan кабелю";коннектор rj45;конектор rj45;"Виробник, Тип устройства"
86;70308;https://prom.ua/Aksessuary-i-komplektuyuschie-dlya-servernogo-oborudovaniya;Полиця для серверної шафи;"полка серверная, полка для шкафа, полка 19 дюймов, полка для стойки, полка телекоммуникационная, полка для оборудования, монтажная полка, полка серверного шкафа";"полиця серверна, полиця для шафи, полиця 19 дюймів, полиця для стійки, полиця телекомунікаційна, полиця для обладнання, монтажна полиця, полиця серверної шафи";полка серверная;полиця серверна;"Виробник, Тип устройства"
87;70308;https://prom.ua/Aksessuary-i-komplektuyuschie-dlya-servernogo-oborudovaniya;Силовий блок для серверної шафи;"силовой блок шкафа, блок питания серверный, розетка для шкафа, блок питания 19 дюймов, силовой модуль шкафа, блок питания стойки, распределитель питания шкафа, pdu блок питания";"силовий блок шафи, блок живлення серверний, розетка для шафи, блок живлення 19 дюймів, силовий модуль шафи, блок живлення стійки, розподільник живлення шафи, pdu блок живлення";силовой блок шкафа;силовий блок шафи;"Виробник, Тип устройства"
88;70308;https://prom.ua/Aksessuary-i-komplektuyuschie-dlya-servernogo-oborudovaniya;Інше обладнання для для серверної шафи;"оборудование серверной, аксессуары серверного шкафа, комплектующие серверной, оборудование стойки, элементы серверного шкафа, оборудование для стойки, аксессуары серверные, комплектующие шкафа";"обладнання серверної, аксесуари серверної шафи, комплектуючі серверної, обладнання стійки, елементи серверної шафи, обладнання для стійки, аксесуари серверні, комплектуючі шафи";оборудование серверное;обладнання серверне;"Виробник, Тип устройства"
89;7190604;https://prom.ua/Patch-kordy;Патч-корд;"патч корд, сетевой патч корд, кабель патч корд, patch cord ethernet, патч кабель rj45, кабель для интернета короткий, патч корд cat6, кабель подключения сети";"патч корд, мережевий патч корд, кабель патч корд, patch cord ethernet, патч кабель rj45, кабель для інтернету короткий, патч корд cat6, кабель підключення мережі";патч корд;патч корд;"Виробник, Тип устройства"
90;70807;https://prom.ua/Setevye-nakopiteli;Мережеві сховища;"сетевое хранилище, nas хранилище, сервер хранения данных, хранилище данных, nas сервер, устройство хранения, сетевой накопитель, storage сервер, nas система, сервер файлов";"мережеве сховище, nas сховище, сервер зберігання даних, сховище даних, nas сервер, пристрій зберігання, мережевий накопичувач, storage сервер, nas система, сервер файлів";сетевое хранилище;мережеве сховище;"Виробник, Тип устройства"
91;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;Джерела безперебійного живлення 12-24В;"ибп 12в 24в, источник бесперебойного питания 12в, ups для камеры, ибп для сигнализации, блок бесперебойного питания, ups 24в, ибп резервный, источник питания резервный";"дбж 12в 24в, джерело безперебійного живлення 12в, ups для камери, дбж для сигналізації, блок безперебійного живлення, ups 24в, дбж резервний, джерело живлення резервне";ибп 12в;дбж 12в;Виробник
92;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;"ДБЖ, стабілізатори 220В";"ибп 220в, стабилизатор напряжения, ups 220в, стабилизатор для дома, ибп для техники, стабилизатор сети, источник бесперебойного питания 220в, стабилизатор напряжения бытовой";"дбж 220в, стабілізатор напруги, ups 220в, стабілізатор для дому, дбж для техніки, стабілізатор мережі, джерело безперебійного живлення 220в, стабілізатор напруги побутовий";ибп 220в;дбж 220в;Виробник
93;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;Блоки питания 12-54 В;"блок питания 12в, блок питания 24в, блок питания 48в, адаптер питания, источник питания постоянный, блок питания для камер, импульсный блок питания, блок питания стабилизированный";"блок живлення 12в, блок живлення 24в, блок живлення 48в, адаптер живлення, джерело живлення постійне, блок живлення для камер, імпульсний блок живлення, блок живлення стабілізований";блок питания;блок живлення;Виробник
94;5280501;https://prom.ua/Akkumulyatornye-bloki;Свинцеві акумулятори;"свинцовый аккумулятор, аккумулятор agm, аккумулятор 12в свинцовый, батарея свинцовая, аккумулятор для ибп, аккумулятор гелевый, аккумулятор для сигнализации, аккумулятор резервный";"свинцевий акумулятор, акумулятор agm, акумулятор 12в свинцевий, батарея свинцева, акумулятор для дбж, акумулятор гелевий, акумулятор для сигналізації, акумулятор резервний";свинцовый аккумулятор;свинцевий акумулятор;Виробник
95;5280501;https://prom.ua/Akkumulyatornye-bloki;Акумулятори літієві;"литиевый аккумулятор, аккумулятор li ion, аккумулятор lifepo4, батарея литиевая, аккумулятор для энергии, аккумулятор для инвертора, литий батарея, аккумулятор для хранения энергии";"літієвий акумулятор, акумулятор li ion, акумулятор lifepo4, батарея літієва, акумулятор для енергії, акумулятор для інвертора, літій батарея, акумулятор для зберігання енергії";литиевый аккумулятор;літієвий акумулятор;Виробник
96;5140401;https://prom.ua/Invertory;Инверторы;"инвертор напряжения, преобразователь напряжения, инвертор 12в 220в, инвертор для дома, инвертор синусоида, инвертор для солнечных систем, инвертор автономный, инвертор power";"інвертор напруги, перетворювач напруги, інвертор 12в 220в, інвертор для дому, інвертор синусоїда, інвертор для сонячних систем, інвертор автономний, інвертор power";инвертор;інвертор;Виробник
97;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;Системы накопления энергии BESS;"bess система накопления, аккумуляторная система bess, система хранения энергии, батарейная система bess, система накопления электроэнергии, bess для дома, энергосистема bess, система резервного питания";"bess система накопичення, акумуляторна система bess, система зберігання енергії, батарейна система bess, система накопичення електроенергії, bess для дому, енергосистема bess, система резервного живлення";bess система;bess система;Виробник
98;14191106;https://prom.ua/Istochnik-besperebojnogo-pitaniya-ibp;Автономные системы питания;"автономная система питания, система резервного питания, автономное электропитание, система питания дома, система backup питания, система энергонезависимая, автономная энергосистема, система бесперебойного питания";"автономна система живлення, система резервного живлення, автономне електроживлення, система живлення дому, система backup живлення, система енергонезалежна, автономна енергосистема, система безперебійного живлення";автономная система питания;автономна система живлення;Виробник
99;500901;https://prom.ua/Zaryadnye-stantsii;Зарядные станции;"зарядная станция, портативная электростанция, power station, зарядная станция для дома, станция питания, мобильная электростанция, станция резервного питания, зарядная станция аккумуляторная";"зарядна станція, портативна електростанція, power station, зарядна станція для дому, станція живлення, мобільна електростанція, станція резервного живлення, зарядна станція акумуляторна";зарядная станция;зарядна станція;Виробник
100;52806;https://prom.ua/Fotoelementy-i-solnechnye-paneli;Солнечные панели;"солнечная панель, солнечная батарея, панель солнечная фотоэлектрическая, панель для генерации энергии, солнечный модуль, панель для дома солнечная, фотоэлектрическая панель, панель pv";"сонячна панель, сонячна батарея, панель сонячна фотоелектрична, панель для генерації енергії, сонячний модуль, панель для дому сонячна, фотоелектрична панель, панель pv";солнечная панель;сонячна панель;Виробник
101;100703;https://prom.ua/Solnechnye-kontrollery;Контроллеры заряда для солнечных панелей;"контроллер заряда, контроллер солнечной панели, mppt контроллер, pwm контроллер, контроллер зарядки аккумулятора, контроллер для солнечной системы, регулятор заряда, контроллер pv";"контролер заряду, контролер сонячної панелі, mppt контролер, pwm контролер, контролер зарядки акумулятора, контролер для сонячної системи, регулятор заряду, контролер pv";контроллер заряда;контролер заряду;Виробник
102;101003;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;Комплектуючі для сонячних панелей;"комплектующие солнечных панелей, аксессуары солнечных систем, элементы солнечной системы, кабели для солнечных панелей, разъемы для солнечных панелей, оборудование для солнечных систем, запчасти солнечных панелей, компоненты pv";"комплектуючі сонячних панелей, аксесуари сонячних систем, елементи сонячної системи, кабелі для сонячних панелей, роз'єми для сонячних панелей, обладнання для сонячних систем, запчастини сонячних панелей, компоненти pv";комплектующие солнечных панелей;комплектуючі сонячних панелей;"Виробник, Тип устройства"
103;101003;https://prom.ua/Komplektuyuschie-dlya-alternativnyh-istochnikov-energii;Кріплення для сонячних панелей;"крепление солнечных панелей, монтаж солнечных панелей, держатель панелей солнечных, крепеж солнечных модулей, система крепления pv, монтажный комплект панелей, кронштейн для солнечных панелей, крепеж для крыши солнечных панелей";"кріплення сонячних панелей, монтаж сонячних панелей, тримач панелей сонячних, кріплення сонячних модулів, система кріплення pv, монтажний комплект панелей, кронштейн для сонячних панелей, кріплення для даху сонячних панелей";крепление солнечных панелей;кріплення сонячних панелей;"Виробник, Тип устройства"
104;7190605;https://prom.ua/Kabel-telefonnyj;Кабель для сонячних панелей;"кабель для солнечных панелей, кабель pv, провод для солнечной системы, кабель солнечный, кабель для панелей, провод pv системы, кабель для генерации энергии, кабель для солнечных модулей";"кабель для сонячних панелей, кабель pv, провід для сонячної системи, кабель сонячний, кабель для панелей, провід pv системи, кабель для генерації енергії, кабель для сонячних модулів";кабель солнечный;кабель сонячний;Виробник
105;410402;https://prom.ua/Dizel-generatory;Генераторы;"генератор бензиновый, генератор дизельный, электрогенератор, генератор для дома, генератор резервный, генератор переносной, генератор электрический, генератор питания";"генератор бензиновий, генератор дизельний, електрогенератор, генератор для дому, генератор резервний, генератор переносний, генератор електричний, генератор живлення";генератор;генератор;Виробник
106;1507;https://prom.ua/Batarejki;Батарейки;"батарейка аа, батарейка ааа, батарейка щелочная, батарейка литиевая, батарейка для техники, батарейка элемент питания, батарейка для пульта, батарейка универсальная";"батарейка аа, батарейка ааа, батарейка лужна, батарейка літієва, батарейка для техніки, батарейка елемент живлення, батарейка для пульта, батарейка універсальна";батарейка;батарейка;Виробник
107;71109;https://prom.ua/Vneshnie-akkumulyatory-dlya-tsifrovoj-tehniki;Адптери;"адаптер питания, сетевой адаптер, блок адаптер, адаптер для устройства, адаптер питания универсальный, адаптер зарядный, адаптер преобразователь, адаптер для техники";"адаптер живлення, мережевий адаптер, блок адаптер, адаптер для пристрою, адаптер живлення універсальний, адаптер зарядний, адаптер перетворювач, адаптер для техніки";адаптер;адаптер;"Виробник, Тип устройства"
108;71109;https://prom.ua/Vneshnie-akkumulyatory-dlya-tsifrovoj-tehniki;Повербанки;"повербанк, power bank аккумулятор, внешний аккумулятор, портативная батарея, аккумулятор для телефона, powerbank usb, мобильный аккумулятор, батарея резервная";"повербанк, power bank акумулятор, зовнішній акумулятор, портативна батарея, акумулятор для телефону, powerbank usb, мобільний акумулятор, батарея резервна";повербанк;повербанк;"Виробник, Тип устройства"
109;410201;https://prom.ua/Zaryadnye-ustrojstva-dlya-akkumulyatorov;Зарядные устройства и аксессуары для аккумуляторов;"зарядное устройство аккумулятора, зарядка для батареи, зарядное устройство универсальное, зарядка для аккумуляторов, зарядное устройство 18650, зарядное устройство для авто, зарядка аккумулятора, устройство зарядки батарей";"зарядний пристрій акумулятора, зарядка для батареї, зарядний пристрій універсальний, зарядка для акумуляторів, зарядний пристрій 18650, зарядний пристрій для авто, зарядка акумулятора, пристрій зарядки батарей";зарядное устройство;зарядний пристрій;Виробник
110;141735;https://prom.ua/Mnogofunktsionalnye-instrumenty;"Шуруповерти, дрилі, перфоратори";"шуруповерт аккумуляторный, дрель электрическая, перфоратор строительный, инструмент электро, шуруповерт для дома, дрель ударная, перфоратор мощный, инструмент для ремонта";"шуруповерт акумуляторний, дриль електрична, перфоратор будівельний, інструмент електро, шуруповерт для дому, дриль ударна, перфоратор потужний, інструмент для ремонту";шуруповерт;шуруповерт;"Виробник, Тип устройства"
111;141735;https://prom.ua/Mnogofunktsionalnye-instrumenty;Пилки;"пила электрическая, пила цепная, пила дисковая, инструмент для резки, пила аккумуляторная, пила для дерева, пила строительная, пила ручная";"пила електрична, пила ланцюгова, пила дискова, інструмент для різання, пила акумуляторна, пила для дерева, пила будівельна, пила ручна";пила;пила;"Виробник, Тип устройства"
112;141735;https://prom.ua/Mnogofunktsionalnye-instrumenty;"Нівеліри,далекоміри,детектори";"нивелир лазерный, дальномер лазерный, детектор проводки, измерительный прибор, нивелир строительный, дальномер для измерения, детектор металла стены, прибор измерения расстояния";"нівелір лазерний, далекомір лазерний, детектор проводки, вимірювальний прилад, нівелір будівельний, далекомір для вимірювання, детектор металу стіни, прилад вимірювання відстані";нивелир;нівелір;"Виробник, Тип устройства"
113;141735;https://prom.ua/Mnogofunktsionalnye-instrumenty;Інший інструмент;"инструмент универсальный, набор инструментов, инструмент строительный, инструмент для дома, инструмент ручной универсальный, набор мастера, инструмент для ремонта, инструмент бытовой";"інструмент універсальний, набір інструментів, інструмент будівельний, інструмент для дому, інструмент ручний універсальний, набір майстра, інструмент для ремонту, інструмент побутовий";инструмент;інструмент;"Виробник, Тип устройства"
114;141735;https://prom.ua/Mnogofunktsionalnye-instrumenty;Аксесуари для електроінструменту;"аксессуары электроинструмента, насадки для инструмента, комплектующие инструмента, аксессуары для дрели, насадки для шуруповерта, оснастка инструмента, принадлежности электроинструмента, комплектующие электроинструмента";"аксесуари електроінструменту, насадки для інструменту, комплектуючі інструменту, аксесуари для дриля, насадки для шуруповерта, оснащення інструменту, приладдя електроінструменту, комплектуючі електроінструменту";аксессуары инструмента;аксесуари інструменту;"Виробник, Тип устройства"
115;141735;https://prom.ua/Mnogofunktsionalnye-instrumenty;Ручной инструмент;"ручной инструмент, инструмент ручной набор, инструмент для ремонта, инструмент слесарный, инструмент для дома, инструмент универсальный, инструмент бытовой, набор ручного инструмента";"ручний інструмент, інструмент ручний набір, інструмент для ремонту, інструмент слюсарний, інструмент для дому, інструмент універсальний, інструмент побутовий, набір ручного інструменту";ручной инструмент;ручний інструмент;"Виробник, Тип устройства"
116;14190906;https://prom.ua/Rele-differentsialnye;Модульное оборудование;"модульное оборудование, автоматы электрические, модульные устройства, оборудование электрощита, автоматический выключатель, модульная автоматика, устройства защиты, электрооборудование модульное";"модульне обладнання, автомати електричні, модульні пристрої, обладнання електрощита, автоматичний вимикач, модульна автоматика, пристрої захисту, електрообладнання модульне";модульное оборудование;модульне обладнання;Виробник
117;50904;https://prom.ua/Raspredelitelnye-schity;Модульные электрощиты;"электрощит модульный, распределительный щит, щиток электрический, шкаф электрощита, щит для дома, щит распределительный, корпус электрощита, щиток настенный";"електрощит модульний, розподільчий щит, щиток електричний, шафа електрощита, щит для дому, щит розподільчий, корпус електрощита, щиток настінний";электрощит;електрощит;"Виробник, Тип устройства"
118;13070701;https://prom.ua/Stremyanki;"Сходи, драбини";"лестница стремянка, стремянка складная, лестница алюминиевая, стремянка бытовая, лестница строительная, стремянка для дома, лестница переносная, стремянка металлическая";"драбина стремянка, стремянка складна, драбина алюмінієва, стремянка побутова, драбина будівельна, стремянка для дому, драбина переносна, стремянка металева";стремянка;стремянка;Виробник
119;53004;https://prom.ua/Rozetki-elektricheskie;"Розетки, выключатели";"розетка электрическая, выключатель света, розетка настенная, выключатель двойной, розетка с заземлением, выключатель клавишный, розетка для дома, электроустановочные изделия";"розетка електрична, вимикач світла, розетка настінна, вимикач подвійний, розетка із заземленням, вимикач клавішний, розетка для дому, електроустановчі вироби";розетка;розетка;Виробник
120;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Садова техніка;"садовая техника, техника для сада, оборудование садовое, техника для участка, садовый инструмент техника, техника для дачи, оборудование для сада, садовая техника электрическая";"садова техніка, техніка для саду, обладнання садове, техніка для ділянки, садовий інструмент техніка, техніка для дачі, обладнання для саду, садова техніка електрична";садовая техника;садова техніка;"Виробник, Тип устройства"
121;1250355;https://prom.ua/Nabory-sadovyh-instrumentov;Обрізка;"инструмент для обрезки, секатор садовый, ножницы для веток, инструмент для сада обрезка, сучкорез, инструмент для деревьев, обрезка растений инструмент, секатор профессиональный";"інструмент для обрізки, секатор садовий, ножиці для гілок, інструмент для саду обрізка, сучкоріз, інструмент для дерев, обрізка рослин інструмент, секатор професійний";секатор;секатор;"Виробник, Тип устройства"
